split,n,accuracy,macro_f1,weighted_f1
train,81440,0.9109282907662083,0.880384373502365,0.9136354916630046
val,21760,0.8665441176470589,0.7909696400158404,0.8730726390028651
test,24800,0.8640322580645161,0.816180166416878,0.8696749906191621
